ts,value
2021-01-16T00:00:00.000+04:00,-5.912468
2021-01-16T00:00:15.000+04:00,-5.914311
2021-01-16T00:00:30.000+04:00,-5.999798
2021-01-16T00:00:45.000+04:00,-5.925428
2021-01-16T00:01:00.000+04:00,-5.9687023
2021-01-16T00:01:15.000+04:00,-6.102322
2021-01-16T00:01:30.000+04:00,-6.1120877
2021-01-16T00:01:45.000+04:00,-6.1064005
2021-01-16T00:02:00.000+04:00,-6.052662
2021-01-16T00:02:15.000+04:00,-5.992673
2021-01-16T00:02:30.000+04:00,-5.929335
2021-01-16T00:02:45.000+04:00,-5.9170513
2021-01-16T00:03:00.000+04:00,-5.8878226
2021-01-16T00:03:15.000+04:00,-5.795252
2021-01-16T00:03:30.000+04:00,-5.9130406
2021-01-16T00:03:45.000+04:00,-5.9492927
2021-01-16T00:04:00.000+04:00,-6.00801
2021-01-16T00:04:15.000+04:00,-5.860696
2021-01-16T00:04:30.000+04:00,-5.822653
2021-01-16T00:04:45.000+04:00,-5.698985
2021-01-16T00:05:00.000+04:00,-5.7132955
2021-01-16T00:05:15.000+04:00,-5.6471877
2021-01-16T00:05:30.000+04:00,-5.682566
2021-01-16T00:05:45.000+04:00,-5.7050347
2021-01-16T00:06:00.000+04:00,-5.850097
2021-01-16T00:06:15.000+04:00,-5.782858
2021-01-16T00:06:30.000+04:00,-5.9234223
2021-01-16T00:06:45.000+04:00,-5.922294
2021-01-16T00:07:00.000+04:00,-5.903279
2021-01-16T00:07:15.000+04:00,-5.9131813
2021-01-16T00:07:30.000+04:00,-5.8847075
2021-01-16T00:07:45.000+04:00,-5.7936616
2021-01-16T00:08:00.000+04:00,-0.1753
2021-01-16T00:08:15.000+04:00,-5.6559787
2021-01-16T00:08:30.000+04:00,-5.579053
2021-01-16T00:08:45.000+04:00,-5.3310795
2021-01-16T00:09:00.000+04:00,-5.333464
2021-01-16T00:09:15.000+04:00,-5.3081136
2021-01-16T00:09:30.000+04:00,-5.374934
2021-01-16T00:09:45.000+04:00,-5.478133
2021-01-16T00:10:00.000+04:00,-5.6966176
2021-01-16T00:10:15.000+04:00,-5.6482935
2021-01-16T00:10:30.000+04:00,-5.7280693
2021-01-16T00:10:45.000+04:00,-5.711452
2021-01-16T00:11:00.000+04:00,-5.712049
2021-01-16T00:11:15.000+04:00,-5.5574684
2021-01-16T00:11:30.000+04:00,-5.4557176
2021-01-16T00:11:45.000+04:00,-5.468005
2021-01-16T00:12:00.000+04:00,-5.3630385
2021-01-16T00:12:15.000+04:00,-5.5162272
2021-01-16T00:12:30.000+04:00,-0.847
2021-01-16T00:12:45.000+04:00,-5.4869018
2021-01-16T00:13:00.000+04:00,-5.332906
2021-01-16T00:13:15.000+04:00,-5.334399
2021-01-16T00:13:30.000+04:00,-5.168491
2021-01-16T00:13:45.000+04:00,-5.2967906
2021-01-16T00:14:00.000+04:00,-5.0322075
2021-01-16T00:14:15.000+04:00,-5.019251
2021-01-16T00:14:30.000+04:00,-4.9607306
2021-01-16T00:14:45.000+04:00,-4.937156
2021-01-16T00:15:00.000+04:00,-4.846138
2021-01-16T00:15:15.000+04:00,-4.908285
2021-01-16T00:15:30.000+04:00,-4.776409
2021-01-16T00:15:45.000+04:00,-4.612119
2021-01-16T00:16:00.000+04:00,-4.618126
2021-01-16T00:16:15.000+04:00,-4.65154
2021-01-16T00:16:30.000+04:00,-4.472872
2021-01-16T00:16:45.000+04:00,-4.2760324
2021-01-16T00:17:00.000+04:00,-4.043633
2021-01-16T00:17:15.000+04:00,-3.922384
2021-01-16T00:17:30.000+04:00,-3.619097
2021-01-16T00:17:45.000+04:00,-3.6086826
2021-01-16T00:18:00.000+04:00,-3.3702528
2021-01-16T00:18:15.000+04:00,-3.351719
2021-01-16T00:18:30.000+04:00,-3.064392
2021-01-16T00:18:45.000+04:00,-3.1027844
2021-01-16T00:19:00.000+04:00,-3.0258076
2021-01-16T00:19:15.000+04:00,-2.9418733
2021-01-16T00:19:30.000+04:00,-2.8580937
2021-01-16T00:19:45.000+04:00,-2.5893807
2021-01-16T00:20:00.000+04:00,-2.5404468
2021-01-16T00:20:15.000+04:00,-2.5612037
2021-01-16T00:20:30.000+04:00,-2.5962644
2021-01-16T00:20:45.000+04:00,-2.4601405
2021-01-16T00:21:00.000+04:00,-2.4547453
2021-01-16T00:21:15.000+04:00,-2.3114908
2021-01-16T00:21:30.000+04:00,-2.42319
2021-01-16T00:21:45.000+04:00,-2.2854557
2021-01-16T00:22:00.000+04:00,-2.2528005
2021-01-16T00:22:15.000+04:00,-2.0717375
2021-01-16T00:22:30.000+04:00,-1.9942795
2021-01-16T00:22:45.000+04:00,-1.7008396
2021-01-16T00:23:00.000+04:00,-1.7553312
2021-01-16T00:23:15.000+04:00,-1.8026669
2021-01-16T00:23:30.000+04:00,-1.8169605
2021-01-16T00:23:45.000+04:00,-1.7805248
2021-01-16T00:24:00.000+04:00,-1.8008736
2021-01-16T00:24:15.000+04:00,-1.6663202
2021-01-16T00:24:30.000+04:00,-1.6102779
2021-01-16T00:24:45.000+04:00,-1.4407604
2021-01-16T00:25:00.000+04:00,-1.538581
2021-01-16T00:25:15.000+04:00,-1.4202536
