ts,value
2021-01-27T06:00:00.000+04:00,-4.1828227
2021-01-27T06:00:15.000+04:00,-4.385293
2021-01-27T06:00:30.000+04:00,-4.464898
2021-01-27T06:00:45.000+04:00,-4.508127
2021-01-27T06:01:00.000+04:00,-4.5245724
2021-01-27T06:01:15.000+04:00,-4.679523
2021-01-27T06:01:30.000+04:00,-4.6146703
2021-01-27T06:01:45.000+04:00,-4.7643056
2021-01-27T06:02:00.000+04:00,-4.7301197
2021-01-27T06:02:15.000+04:00,-4.812604
2021-01-27T06:02:30.000+04:00,-4.7148495
2021-01-27T06:02:45.000+04:00,-4.727848
2021-01-27T06:03:00.000+04:00,-4.860291
2021-01-27T06:03:15.000+04:00,-5.0113707
2021-01-27T06:03:30.000+04:00,-0.1815
2021-01-27T06:03:45.000+04:00,-5.314508
2021-01-27T06:04:00.000+04:00,-5.2612495
2021-01-27T06:04:15.000+04:00,-5.425697
2021-01-27T06:04:30.000+04:00,-5.351942
2021-01-27T06:04:45.000+04:00,-5.3853784
2021-01-27T06:05:00.000+04:00,-5.521898
2021-01-27T06:05:15.000+04:00,-5.7280946
2021-01-27T06:05:30.000+04:00,-5.709161
2021-01-27T06:05:45.000+04:00,-5.750491
2021-01-27T06:06:00.000+04:00,-6.075578
2021-01-27T06:06:15.000+04:00,-6.2402163
2021-01-27T06:06:30.000+04:00,-6.0298986
2021-01-27T06:06:45.000+04:00,-6.03512
2021-01-27T06:07:00.000+04:00,-5.9683747
2021-01-27T06:07:15.000+04:00,-5.9590564
2021-01-27T06:07:30.000+04:00,-5.7863607
2021-01-27T06:07:45.000+04:00,-5.8415813
2021-01-27T06:08:00.000+04:00,-5.860114
2021-01-27T06:08:15.000+04:00,-5.882454
2021-01-27T06:08:30.000+04:00,-5.909096
2021-01-27T06:08:45.000+04:00,-5.881135
2021-01-27T06:09:00.000+04:00,-6.057468
2021-01-27T06:09:15.000+04:00,-5.9516897
2021-01-27T06:09:30.000+04:00,-6.0150967
2021-01-27T06:09:45.000+04:00,-6.067185
2021-01-27T06:10:00.000+04:00,-6.247951
2021-01-27T06:10:15.000+04:00,-6.3191915
2021-01-27T06:10:30.000+04:00,-6.234702
2021-01-27T06:10:45.000+04:00,-6.1758814
2021-01-27T06:11:00.000+04:00,-6.188325
2021-01-27T06:11:15.000+04:00,-6.005231
2021-01-27T06:11:30.000+04:00,-6.1802964
2021-01-27T06:11:45.000+04:00,-6.120719
2021-01-27T06:12:00.000+04:00,-6.2390966
2021-01-27T06:12:15.000+04:00,-6.2500277
2021-01-27T06:12:30.000+04:00,-6.1704097
2021-01-27T06:12:45.000+04:00,-6.115341
2021-01-27T06:13:00.000+04:00,-6.140421
2021-01-27T06:13:15.000+04:00,-6.1947474
2021-01-27T06:13:30.000+04:00,-5.9917197
2021-01-27T06:13:45.000+04:00,-5.938437
2021-01-27T06:14:00.000+04:00,-6.111698
2021-01-27T06:14:15.000+04:00,-5.9867034
2021-01-27T06:14:30.000+04:00,-6.0711517
2021-01-27T06:14:45.000+04:00,-5.990443
2021-01-27T06:15:00.000+04:00,-6.082678
2021-01-27T06:15:15.000+04:00,-6.175056
2021-01-27T06:15:30.000+04:00,-6.186078
2021-01-27T06:15:45.000+04:00,-6.1150446
2021-01-27T06:16:00.000+04:00,-6.154856
2021-01-27T06:16:15.000+04:00,-0.1174
2021-01-27T06:16:30.000+04:00,-5.984919
2021-01-27T06:16:45.000+04:00,-5.909573
2021-01-27T06:17:00.000+04:00,-5.842877
2021-01-27T06:17:15.000+04:00,-5.780433
2021-01-27T06:17:30.000+04:00,-5.7319427
2021-01-27T06:17:45.000+04:00,-5.6515083
2021-01-27T06:18:00.000+04:00,387.85532
2021-01-27T06:18:15.000+04:00,-5.6055164
2021-01-27T06:18:30.000+04:00,-5.5515637
2021-01-27T06:18:45.000+04:00,-5.6446776
2021-01-27T06:19:00.000+04:00,-5.3969603
2021-01-27T06:19:15.000+04:00,-5.261315
2021-01-27T06:19:30.000+04:00,-5.254145
2021-01-27T06:19:45.000+04:00,-5.3638544
2021-01-27T06:20:00.000+04:00,-5.412647
2021-01-27T06:20:15.000+04:00,-5.4169254
2021-01-27T06:20:30.000+04:00,-5.377995
2021-01-27T06:20:45.000+04:00,-5.3572593
2021-01-27T06:21:00.000+04:00,-5.3692236
2021-01-27T06:21:15.000+04:00,-5.2656913
2021-01-27T06:21:30.000+04:00,-5.2541685
2021-01-27T06:21:45.000+04:00,-5.169659
2021-01-27T06:22:00.000+04:00,-5.021168
2021-01-27T06:22:15.000+04:00,-5.018102
2021-01-27T06:22:30.000+04:00,-4.959965
2021-01-27T06:22:45.000+04:00,-4.844764
2021-01-27T06:23:00.000+04:00,-4.602904
2021-01-27T06:23:15.000+04:00,-4.627091
2021-01-27T06:23:30.000+04:00,-4.535831
2021-01-27T06:23:45.000+04:00,-4.4996305
2021-01-27T06:24:00.000+04:00,0.6868
2021-01-27T06:24:15.000+04:00,-4.660235
2021-01-27T06:24:30.000+04:00,-4.6301527
2021-01-27T06:24:45.000+04:00,-4.6061573
2021-01-27T06:25:00.000+04:00,-4.4987555
2021-01-27T06:25:15.000+04:00,-4.4667544
2021-01-27T06:25:30.000+04:00,-4.4747615
2021-01-27T06:25:45.000+04:00,-4.474185
2021-01-27T06:26:00.000+04:00,-4.446532
2021-01-27T06:26:15.000+04:00,-4.5210104
2021-01-27T06:26:30.000+04:00,-4.5432286
2021-01-27T06:26:45.000+04:00,-4.632995
2021-01-27T06:27:00.000+04:00,-4.6453176
2021-01-27T06:27:15.000+04:00,-4.6177053
2021-01-27T06:27:30.000+04:00,-4.589466
2021-01-27T06:27:45.000+04:00,-4.4791093
2021-01-27T06:28:00.000+04:00,-4.445644
2021-01-27T06:28:15.000+04:00,-4.4466786
2021-01-27T06:28:30.000+04:00,-4.523023
2021-01-27T06:28:45.000+04:00,-4.5484867
2021-01-27T06:29:00.000+04:00,-4.4273787
2021-01-27T06:29:15.000+04:00,-4.531509
2021-01-27T06:29:30.000+04:00,-4.605387
2021-01-27T06:29:45.000+04:00,-4.590023
2021-01-27T06:30:00.000+04:00,-4.508927
2021-01-27T06:30:15.000+04:00,-4.412509
2021-01-27T06:30:30.000+04:00,-4.5493793
2021-01-27T06:30:45.000+04:00,-4.482249
2021-01-27T06:31:00.000+04:00,-4.4664273
2021-01-27T06:31:15.000+04:00,-4.395026
2021-01-27T06:31:30.000+04:00,-4.116856
2021-01-27T06:31:45.000+04:00,-4.080827
2021-01-27T06:32:00.000+04:00,-4.0043516
2021-01-27T06:32:15.000+04:00,-3.9801397
2021-01-27T06:32:30.000+04:00,-0.4912
2021-01-27T06:32:45.000+04:00,-4.008353
2021-01-27T06:33:00.000+04:00,-3.7032015
2021-01-27T06:33:15.000+04:00,-3.6830592
2021-01-27T06:33:30.000+04:00,-3.6340384
2021-01-27T06:33:45.000+04:00,-3.6480505
2021-01-27T06:34:00.000+04:00,-3.542008
2021-01-27T06:34:15.000+04:00,-3.475222
2021-01-27T06:34:30.000+04:00,-3.3214054
2021-01-27T06:34:45.000+04:00,-3.13297
2021-01-27T06:35:00.000+04:00,-2.9686282
2021-01-27T06:35:15.000+04:00,-2.878592
2021-01-27T06:35:30.000+04:00,-2.8892744
2021-01-27T06:35:45.000+04:00,-2.7281873
2021-01-27T06:36:00.000+04:00,-2.597144
2021-01-27T06:36:15.000+04:00,-2.5726566
2021-01-27T06:36:30.000+04:00,-2.4144382
2021-01-27T06:36:45.000+04:00,-2.2721016
2021-01-27T06:37:00.000+04:00,-2.1321597
2021-01-27T06:37:15.000+04:00,-1.9828253
2021-01-27T06:37:30.000+04:00,-1.9278117
2021-01-27T06:37:45.000+04:00,-1.807632
